idade,genero,etnia,pcd,vive_no_brasil,estado_moradia,nivel_ensino,formacao,tempo_experiencia_dados,linguagens_preferidas,bancos_de_dados,cloud_preferida,cargo
24,Masculino,Branca,Não,TRUE,São Paulo (SP),Pós-graduação,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,de 3 a 4 anos,,,,
31,Feminino,Parda,Não,TRUE,São Paulo (SP),Pós-graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios,,,,,
26,Masculino,Branca,Não,TRUE,Rio de Janeiro (RJ),Graduação/Bacharelado,Outra opção,Não tenho experiência na área de dados,Python,Google BigQuery,Não sei opinar,Outra Opção
31,Feminino,Preta,Não,FALSE,,Pós-graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios,,,,,
44,Masculino,Amarela,Não,TRUE,São Paulo (SP),Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Mais de 10 anos,Julia,SAP HANA,Google Cloud (GCP),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
28,Masculino,Branca,Não,TRUE,Santa Catarina (SC),Estudante de Graduação,Outras Engenharias,de 1 a 2 anos,,,,
33,Masculino,Parda,Não,FALSE,,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,de 4 a 6 anos,Python,"Google BigQuery, PostgreSQL",Não sei opinar,Analista de Dados/Data Analyst
39,Masculino,Parda,Não,TRUE,Rio de Janeiro (RJ),Pós-graduação,Outra opção,de 4 a 6 anos,Python,SQL SERVER,Não sei opinar,Analista de BI/BI Analyst
25,Feminino,Branca,Não,TRUE,São Paulo (SP),Graduação/Bacharelado,Ciências Sociais,de 3 a 4 anos,Python,"Amazon Athena, S3, Presto, PostgreSQL",Amazon Web Services (AWS),Analista de Dados/Data Analyst
28,Masculino,Branca,Não,TRUE,São Paulo (SP),Graduação/Bacharelado,Outras Engenharias,de 1 a 2 anos,,,,
31,Masculino,Branca,Não,TRUE,Paraná (PR),Pós-graduação,Outras Engenharias,de 3 a 4 anos,Python,"Google BigQuery, PostgreSQL",Google Cloud (GCP),Engenheiro de Machine Learning/ML Engineer
20,Masculino,Parda,Não,TRUE,São Paulo (SP),Estudante de Graduação,Marketing / Publicidade / Comunicação / Jornalismo,de 1 a 2 anos,SQL,"Amazon Redshift, S3, PostgreSQL",Amazon Web Services (AWS),Analista de Dados/Data Analyst
25,Masculino,Preta,Não,TRUE,Minas Gerais (MG),Graduação/Bacharelado,Outras Engenharias,de 3 a 4 anos,Python,"PostgreSQL, Amazon Athena, S3, Amazon Aurora ou RDS",Não sei opinar,Cientista de Dados/Data Scientist
24,Masculino,Parda,Não,TRUE,São Paulo (SP),Pós-graduação,Outras Engenharias,de 1 a 2 anos,Python,"PostgreSQL, Google BigQuery, Snowflake, DynamoDB, Databricks",Azure (Microsoft),Analytics Engineer
30,Feminino,Outra,Não,TRUE,Minas Gerais (MG),Graduação/Bacharelado,Outra opção,,,,,
27,Masculino,Preta,Não,TRUE,Paraná (PR),Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças/ Negócios,Menos de 1 ano,Python,Excel,Amazon Web Services (AWS),Analista de Dados/Data Analyst
26,Masculino,Branca,Não,TRUE,Rio de Janeiro (RJ),Graduação/Bacharelado,Outras Engenharias,de 1 a 2 anos,Python,SQL SERVER,Não sei opinar,Analista de BI/BI Analyst
22,Masculino,Parda,Não,TRUE,Paraíba (PB),Estudante de Graduação,Outras Engenharias,,,,,
,Masculino,Preta,Não,TRUE,São Paulo (SP),Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,de 7 a 10 anos,Python,"MySQL, MariaDB, SQL SERVER, PostgreSQL",Google Cloud (GCP),Analista de Dados/Data Analyst
32,Masculino,Branca,Não,TRUE,Minas Gerais (MG),Graduação/Bacharelado,Outras Engenharias,Menos de 1 ano,Python,Google BigQuery,Não sei opinar,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
